MAJOR_CODE,MAJOR
10,M.A.ECONOMICS
20,M.Sc.MATHAEMATICS
30,M.Com.COMMERCE
40,M.C.A.COMPUTER APPLICATIONS
04L,M.C.A.COMPUTER APPLICATIONS(L)
50,PGDCA COMPUTER APPLICATION
60,M.Sc.COMPUTER SCIENCE
70,M.Com.(C.A) COMMERCE (COMPUTER APPLICATIONS)
80,M.Sc.PHYSICS
90,M.Sc.INFORMATION TECHNOLOGY
100,M.A.ENGLISH LANGUAGE & LITERATURE
100,M.A.ENGLISH  LITERATURE
110,M.Sc.CHEMISTRY
120,M.A.TAMIL LITERATURE
130,M.B.A. BUSINESS ADMINISTRATION
AI0,B.Sc.COMPUTER SCIENCE(AI & DS)
BA0,B.B.A. BUSINESS ADMINISTRATION
BI0,B.Com.(B.I)COMMERCE (BANKING & INSURANCE)
BM0,B.B.A. BUSINESS ADMINISTRATION
BO0,B.Sc.BOTANY
CA0,B.C.A.COMPUTER APPLICATIONS
CB0,B.Com.(B.A) COMMERCE (BUSINESS ANALYTICS)
CC0,B.Com.(C.A) COMMERCE (COMPUTER APPLICATIONS)
CH0,B.Sc.CHEMISTRY(ALLIED MATHS)
CHB,B.Sc.CHEMISTRY(ALLIED BOTANY)
CL0,CLIS
CO0,B.Com.COMMERCE
CP0,B.Com.(P.A) COMMERCE (PROFESSIONAL ACCOUNTING)
CS0,B.Sc.COMPUTER SCIENCE
CT0,B.Sc.COMPUTER TECHNOLOGY
EC0,B.A.ECONOMICS
ECV,B.A.ECONOMICS(VOCATIONAL)
EL0,B.A.ENGLISH LITERATURE
IT0,B.Sc.INFORMATION TECHNOLOGY
MA0,B.Sc.MATHEMATICS
OT0,B.Sc.INTERNET OF THINGS
PC0,B.Sc.PHYSICS(C.A)
PEO,B.Sc.PHYSICAL EDUCATION
PH0,B.Sc.PHYSICS
TL0,B.A.TAMIL LITERATURE
