SUBJECT_CODE,DEGREE,BATCH,SUBJECT_TITLES,HOURS,MIN_MARKS,MAX_MARKS,CREDITS,EOS_MIN_MARKS,CIA_MIN_MARKS,EOS_MAX_MARKS,CIA_MAX_MARKS,FEES
08UACS03,BSC(CS),,PROGRAMMING IN C,3,40,100,3.50,30,10,75,25,
10UACS02,BSC(CS),,DIGITAL COMPUTER FUNDAMENTALS & ARCHITECTURE,3,40,100,3.50,30,10,75,25,
10UACSPB,BSC(CS),2018,PROGRAMMING  LAB-II  (C++),3,40,100,2.00,30,10,75,25,
11UBMA51,BSC(CS),,MATHEMATICS - I,3,40,100,5.00,30,10,75,25,
11UBMA52,BSC(CS),,MATHEMATICS - II,3,40,100,5.00,30,10,75,25,
13U4HEP1,BA BSC BBM BCOM BCOM(CA) BCA,,PRACTICAL - I: YOGA PRACTICE-I,3,40,100,1.00,30,10,75,25,
15UACSPA,BSC(CS),,PROGRAMMING  LAB-I  (C),3,40,100,2.00,30,10,75,25,
16U2EN01,BA BSC BBM BCOM BCOM(CA) BCA,,ENGLISH - I,3,40,100,3.00,30,10,75,25,
16U2EN02,BA BSC BBM BCOM BCOM(CA) BCA,,ENGLISH - II,3,40,100,3.00,30,10,75,25,
16UACS05,BSC(CS),,OPERATING SYSTEM,3,40,100,3.50,30,10,75,25,
17U4HE01,BA BSC BBM BCOM BCOM(CA) BCA,,i) HUMAN EXCELLENCE PAPER-I : BASICS OF YOGIC LIFE,3,40,100,1.00,30,10,75,25,
17U4HE02,BA BSC BBM BCOM BCOM(CA) BCA,,i) HUMAN EXCELLENCE PAPER-II : SUBLIMATION AND SOCIAL WELFARE,3,40,100,1.00,30,10,75,25,
19U1TM02,BSC(CS) BBM BCOM BCOM(CA) BCA,,TAMIL - II,3,40,100,3.00,30,10,75,25,
19U4FN01,BA BSC BBM BCOM BCA BCOM(CA),2020,ii) FOUNDATION SUBJECT - A : GENERAL AWARENESS,1.5,40,100,1.00,30,10,75,25,
20U1TM01,BA BSC BBM BCOM BCOM(CA) BCA,,TAMIL - I,3,40,100,3.00,30,10,75,25,
21UACS03,BSC(CS),"94-18, 2021",OBJECT ORIENTED PROGRAMMING WITH C++,3,40,100,3.50,30,10,75,25,
21UACS05,BSC(CS),2021,DATA STRUCTURES,3,40,100,3.50,30,10,75,25,
16P3CS01,MSC(CS),,DATA ANALYTICS,3,50,100,4.00,32,18,70,30,
16P3CS02,MSC(CS),,VISUAL COMPUTING,3,50,100,4.00,32,18,70,30,
16P3CS07,MSC(CS),,COMPILER DESIGN,3,50,100,4.00,32,18,70,30,
16P3CSPC,MSC(CS),2018,PROGRAMMING LAB - III (PERL & PYTHON),3,50,100,4.00,32,18,70,30,
17P3CS05,MSC(CS),,OPEN SOURCE SCRIPTING TOOLS (PERL & PYTHON),3,50,100,4.00,32,18,70,30,
18P3CS03,MSC(CS),,DATA WAREHOUSING AND MINING,3,50,100,4.00,32,18,70,30,
18P3CS04,MSC(CS),,ELECTIVE - I DIGITAL IMAGE PROCESSING,3,50,100,5.00,32,18,70,30,
18P3CSPB,MSC(CS),2018,PROGRAMMING LAB - II (VISUAL COMPUTING),3,50,100,4.00,32,18,70,30,
18P3CSPA,MSC(CS),2018,PROGRAMMING LAB - I (DATA ANALYTICS),3,50,100,4.00,32,18,70,30,
18P3CS06,MSC(CS),,ANDROID,3,50,100,4.00,32,18,70,30,
18P3CS08,MSC(CS),,ELECTIVE - II CLOUD COMPUTING,3,50,100,5.00,32,18,70,30,
18P3CSPD,MSC(CS),2018,PROGRAMMING LAB - IV (ANDROID),3,50,100,4.00,32,18,70,30,
18P3CS09,MSC(CS),,JAVA AND JSP,3,50,100,4.00,32,18,70,30,
